index,antecedent,consequent,basket_rule,support,confidence,lift
0,['Figma'],['AWS'],['Figma']->['AWS'],0.05263157894736842,1.0,19.0
3287,"['HTML', 'Kotlin', 'TDD']","['Android', 'React Native']","['HTML', 'Kotlin', 'TDD']->['Android', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3294,"['Android', 'HTML', 'Kotlin']","['React Native', 'TDD']","['Android', 'HTML', 'Kotlin']->['React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3293,"['Android', 'HTML', 'React Native']","['Kotlin', 'TDD']","['Android', 'HTML', 'React Native']->['Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3292,"['Android', 'HTML', 'TDD']","['Kotlin', 'React Native']","['Android', 'HTML', 'TDD']->['Kotlin', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3291,"['Android', 'Kotlin', 'React Native']","['HTML', 'TDD']","['Android', 'Kotlin', 'React Native']->['HTML', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3290,"['Android', 'Kotlin', 'TDD']","['HTML', 'React Native']","['Android', 'Kotlin', 'TDD']->['HTML', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3289,"['Android', 'React Native', 'TDD']","['HTML', 'Kotlin']","['Android', 'React Native', 'TDD']->['HTML', 'Kotlin']",0.15789473684210525,1.0,6.333333333333333
3288,"['HTML', 'Kotlin', 'React Native']","['Android', 'TDD']","['HTML', 'Kotlin', 'React Native']->['Android', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3286,"['HTML', 'React Native', 'TDD']","['Android', 'Kotlin']","['HTML', 'React Native', 'TDD']->['Android', 'Kotlin']",0.15789473684210525,1.0,4.749999999999999
3231,"['Android', 'JavaScript', 'Kotlin']","['HTML', 'TDD']","['Android', 'JavaScript', 'Kotlin']->['HTML', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3285,"['Kotlin', 'React Native', 'TDD']","['Android', 'HTML']","['Kotlin', 'React Native', 'TDD']->['Android', 'HTML']",0.15789473684210525,1.0,6.333333333333333
3284,"['Android', 'HTML', 'Kotlin', 'React Native']",['TDD'],"['Android', 'HTML', 'Kotlin', 'React Native']->['TDD']",0.15789473684210525,1.0,4.749999999999999
3283,"['Android', 'HTML', 'Kotlin', 'TDD']",['React Native'],"['Android', 'HTML', 'Kotlin', 'TDD']->['React Native']",0.15789473684210525,1.0,6.333333333333333
3282,"['Android', 'HTML', 'React Native', 'TDD']",['Kotlin'],"['Android', 'HTML', 'React Native', 'TDD']->['Kotlin']",0.15789473684210525,1.0,4.749999999999999
3281,"['Android', 'Kotlin', 'React Native', 'TDD']",['HTML'],"['Android', 'Kotlin', 'React Native', 'TDD']->['HTML']",0.15789473684210525,1.0,4.749999999999999
3280,"['HTML', 'Kotlin', 'React Native', 'TDD']",['Android'],"['HTML', 'Kotlin', 'React Native', 'TDD']->['Android']",0.15789473684210525,1.0,3.8
3277,['JavaScript'],"['Android', 'HTML', 'React Native', 'TDD']","['JavaScript']->['Android', 'HTML', 'React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3295,"['React Native', 'TDD']","['Android', 'HTML', 'Kotlin']","['React Native', 'TDD']->['Android', 'HTML', 'Kotlin']",0.15789473684210525,1.0,6.333333333333333
3296,"['Kotlin', 'TDD']","['Android', 'HTML', 'React Native']","['Kotlin', 'TDD']->['Android', 'HTML', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3297,"['Kotlin', 'React Native']","['Android', 'HTML', 'TDD']","['Kotlin', 'React Native']->['Android', 'HTML', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3298,"['HTML', 'TDD']","['Android', 'Kotlin', 'React Native']","['HTML', 'TDD']->['Android', 'Kotlin', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3318,"['JavaScript', 'Kotlin', 'React Native']","['Android', 'TDD']","['JavaScript', 'Kotlin', 'React Native']->['Android', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3317,"['JavaScript', 'Kotlin', 'TDD']","['Android', 'React Native']","['JavaScript', 'Kotlin', 'TDD']->['Android', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3316,"['JavaScript', 'React Native', 'TDD']","['Android', 'Kotlin']","['JavaScript', 'React Native', 'TDD']->['Android', 'Kotlin']",0.15789473684210525,1.0,4.749999999999999
